"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_3.2mm_M3_Pad_Via";;;
2;"F1,F3";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"Fuse_Small";;;
3;"F2";"Fuseholder_Blade_Mini_Keystone_3568";1;"Fuse_Small";;;
4;"P1,P3,P5,P7,P9,P10,P11,P12";"IDC-Header_2x05_Pitch2.54mm_Straight";8;"Doepfer_Power_10pin";;;
5;"P2,P4,P6,P8";"IDC-Header_2x08_Pitch2.54mm_Straight";4;"Doepfer_Power_16pin";;;
6;"RV2,RV1,RV3";"RV_Disc_D12mm_W4.8mm_P7.5mm";3;"Varistor";;;
7;"C1,C2,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";33;"100n";;;
8;"C4,C7,C12";"CP_Radial_D8.0mm_P3.80mm";3;"1000uF";;;
9;"FL1,FL2,FL3";"Transformer_Toroid_horizontal_Diameter9mm_Amidon-T30";3;"EMI_Filter_CommonMode";;;
10;"J1,J2,J3";"TerminalBlock_Altech_AK300-2_P5.00mm";3;"Conn_01x02_Male";;;
11;"J4,J5,J6";"TerminalBlock_Altech_AK300-3_P5.00mm";3;"Conn_01x03_Male";;;
12;"U1";"TO-220-3_Vertical";1;"LM7812_TO220";;;
13;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
14;"U3";"TO-220-3_Vertical";1;"LM7912_TO220";;;
15;"D1,D2,D6";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N4001";;;
16;"D3,D4,D5,D7,D8,D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED";;;
17;"R1,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"680R";;;
18;"R2,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3k3";;;
19;"R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k5";;;
20;"C3,C10,C5,C6,C8,C11,C13,C14";"CP_Radial_D10.0mm_P5.00mm";8;"1000uF";;;
21;"Q1";"TO-126-3_Vertical";1;"BD139";;;
22;"Q2";"TO-126-3_Vertical";1;"BD140";;;
23;"R7,R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"10r";;;
24;"R8,R9,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"330r";;;
25;"U4";"DIP-8_W7.62mm_Socket";1;"TL071";;;
26;"C45,C46";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"220n";;;
27;"TP1,TP3";"PinSocket_1x01_P2.54mm_Vertical";2;"VGnd";;;
28;"TP2";"PinSocket_1x01_P2.54mm_Vertical";1;"Vin+15";;;
29;"TP4";"PinSocket_1x01_P2.54mm_Vertical";1;"Vin-15";;;
30;"JP1,JP2";"PinSocket_1x02_P2.54mm_Vertical";2;"Jumper_2_Open";;;
31;"R12,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0R";;;
